Number of Military and DoD Appropriated Fund (APF) Civilian Personnel,,,,,,,,,,,,,,,,,,,,,,,
By Assigned Duty Location and Service/Component,,,,,,,,,,,,,,,,,,,,,,,
Note: This table only represents the unclassified data on personnel who are assigned for duty at these specific locations. ,,,,,,,,,,,,,,,,,,,,,,,
The table includes personnel who are assigned to the State Department and Embassies overseas.,,,,,,,,,,,,,,,,,,,,,,,
"The table does not include all personnel on temporary duty, or deployed in support of contingency operations.",,,,,,,,,,,,,,,,,,,,,,,
"Sources: Active Duty Master File, Reserve Common Components Personnel Data System (RCCPDS) File, Appropriated Fund (APF) Civilian Master File",,,,,,,,,,,,,,,,,,,,,,,
"As of September 30, 2023",,,,,,,,,,,,,,,,,,,,,,,
LOCATION,DUTY STATE / COUNTRY,ACTIVE DUTY,,,,,,,NATIONAL GUARD / RESERVE,,,,,,,,APF DOD CIVILIAN,,,,,,GRAND TOTAL
,,ARMY,NAVY,MARINE CORPS,AIR FORCE,SPACE FORCE,COAST GUARD,TOTAL,ARMY NATIONAL GUARD,ARMY RESERVE,NAVY RESERVE,MARINE CORPS RESERVE,AIR NATIONAL GUARD,AIR FORCE RESERVE,COAST GUARD RESERVE,TOTAL,ARMY,NAVY,MARINE CORPS,AIR FORCE,4TH ESTATE (DOD),TOTAL,
UNITED STATES,ALABAMA,"4,596",67,157,"2,795",73,880,"8,568","9,830","3,950",260,596,"2,377","1,231",99,"18,343","17,552",157,8,"2,319","4,303","24,339","51,250"
,ALASKA,"11,054",46,21,"8,568",13,"1,673","21,375","1,522",312,99,55,"2,203",364,40,"4,595","2,077",9,0,"2,539",718,"5,343","31,313"
,ARIZONA,"3,294",351,"3,631","10,061",12,9,"17,358","4,800","3,318",947,448,"2,546","2,373",0,"14,432","3,777",189,447,"3,249","1,524","9,186","40,976"
,ARKANSAS,124,9,106,"3,453",2,18,"3,712","6,400","1,397",124,131,"1,964",422,0,"10,438","2,341",12,0,"1,110",177,"3,640","17,790"
,ARMED FORCES EUROPE,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,16
,CALIFORNIA,"6,053","75,393","57,480","15,863","1,616","4,647","161,052","12,685","15,550","7,646","4,449","4,853","7,012",767,"52,962","8,741","31,557","4,249","9,791","8,610","62,948","276,962"
,COLORADO,"25,123",844,269,"6,126","3,910",45,"36,317","3,310","3,783","1,013",425,"1,678","3,277",15,"13,501","2,704",171,8,"6,191","3,081","12,155","61,973"
,CONNECTICUT,92,"5,343",62,34,0,680,"6,211","3,623","1,055",367,177,"1,126",0,113,"6,461",601,"1,158",0,234,628,"2,621","15,293"
,DELAWARE,56,13,19,"3,312",0,27,"3,427","1,543",525,166,107,995,"1,497",10,"4,843",293,10,2,"1,017",166,"1,488","9,758"
,DISTRICT OF COLUMBIA,"1,811","2,482","2,240","2,310",119,"2,065","11,027","1,066",219,51,457,"1,137",224,244,"3,398","1,027","10,316",27,913,909,"13,192","27,617"
,FLORIDA,"5,724","28,752","3,284","22,380",287,"4,732","65,159","10,371","10,211","6,133","1,318","2,102","6,788",910,"37,833","4,732","12,717",313,"12,715","3,944","34,421","137,413"
,GEORGIA,"48,950","6,132","1,273","8,177",23,475,"65,030","11,064","7,550","1,287",683,"2,782","3,338",57,"26,761","8,629","2,652","1,553","15,179","6,447","34,460","126,251"
,HAWAII,"19,044","12,610","5,982","5,483",155,"1,271","44,545","3,059","2,421",704,203,"2,343",749,125,"9,604","3,192","11,797",621,"1,465","3,402","20,477","74,626"
,IDAHO,66,38,39,"3,308",1,4,"3,456","3,032",609,185,100,"1,254",29,0,"5,209",769,86,1,722,100,"1,678","10,343"
,ILLINOIS,969,"15,907",365,"4,244",5,96,"21,586","10,033","5,475","1,908",803,"2,766","1,530",45,"22,560","7,246","1,044",33,"2,900","1,455","12,678","56,824"
,INDIANA,561,106,156,105,9,26,963,"9,823","2,418",361,466,"1,940","1,381",10,"16,399","2,130","4,343",287,892,"4,266","11,918","29,280"
,IOWA,98,15,65,32,0,31,241,"6,820","1,868",123,135,"1,898",0,0,"10,844","1,313",16,1,480,83,"1,893","12,978"
,KANSAS,"16,717",74,104,"2,996",11,74,"19,976","4,511","2,096",121,163,"2,098",785,17,"9,791","4,694",14,0,974,"1,306","6,988","36,755"
,KENTUCKY,"31,495",27,86,238,0,162,"32,008","6,161","4,214",244,101,"1,156",3,56,"11,935","7,841",34,3,277,"1,788","9,943","53,886"
,LOUISIANA,"7,358",352,776,"4,991",1,"1,099","14,577","9,481","1,779",884,987,"1,451","1,268",111,"15,961","3,230",574,231,"1,680",723,"6,438","36,976"
,MAINE,67,154,25,10,0,414,670,"1,711",280,87,79,"1,078",0,61,"3,296",323,"7,350",0,314,880,"8,867","12,833"
,MARYLAND,"7,873","9,146","2,168","8,450",217,849,"28,703","4,293","5,704","3,837",464,"1,842","1,692",163,"17,995","16,065","17,915",334,"3,136","10,439","47,889","94,587"
,MASSACHUSETTS,358,350,222,"1,076",57,"1,273","3,336","5,625","2,734",264,744,"2,027","1,942",352,"13,688","2,302",167,6,"3,639",752,"6,866","23,890"
,MICHIGAN,410,143,150,102,1,975,"1,781","7,550","2,510",779,609,"2,482",0,115,"14,045","7,520",55,8,761,"1,511","9,855","25,681"
,MINNESOTA,158,134,100,57,0,122,571,"10,354","2,438",554,294,"2,244","1,334",16,"17,234","1,738",34,2,790,155,"2,719","20,524"
,MISSISSIPPI,399,"4,486",441,"5,573",92,258,"11,249","7,970","1,508",571,76,"2,613","1,563",133,"14,434","4,274","2,605",2,"2,393",544,"9,818","35,501"
,MISSOURI,"8,609",250,"1,042","4,059",1,210,"14,171","8,960","3,958","1,033",465,"2,065",926,74,"17,481","5,143",63,146,"1,232","1,430","8,014","39,666"
,MONTANA,42,4,21,"3,202",12,0,"3,281","2,253",552,117,66,948,23,0,"3,959",594,10,0,773,74,"1,451","8,691"
,NEBRASKA,150,297,69,"5,882",13,0,"6,411","3,167","1,069",239,104,"1,065",273,0,"5,917","1,456",29,4,"2,490",220,"4,199","16,527"
,NEVADA,140,"1,040",61,"10,677",33,4,"11,955","3,274","1,248",631,170,"1,146","1,233",1,"7,703",569,309,0,"1,698",386,"2,962","22,620"
,NEW HAMPSHIRE,53,980,42,135,4,36,"1,250","1,575",915,275,133,"1,092",0,8,"3,998",529,23,3,329,172,"1,056","6,304"
,NEW JERSEY,607,411,413,"4,763",3,"1,812","8,009","6,057","3,630","1,239","1,013","2,314","1,946",203,"16,402","5,568","2,478",6,"2,001",662,"10,715","35,126"
,NEW MEXICO,347,58,111,"12,751",218,5,"13,490","2,528",672,174,91,974,225,0,"4,664","2,390",143,0,"3,604",550,"6,687","24,841"
,NEW YORK,"16,219",711,534,456,5,883,"18,808","10,916","6,977","1,626","1,837","5,758","1,158",349,"28,621","6,768",124,29,"2,204","2,772","11,897","59,326"
,NORTH CAROLINA,"42,988","4,297","35,906","6,208",5,"1,437","90,841","8,643","6,248","1,112",918,"1,471","1,474",234,"20,100","8,119","4,443","2,848","1,324","6,096","22,830","133,771"
,NORTH DAKOTA,30,4,13,"6,996",36,0,"7,079","2,951",211,66,65,"1,146",38,0,"4,477",546,3,1,"1,134",120,"1,804","13,360"
,OHIO,457,224,304,"5,253",210,348,"6,796","10,310","5,024","1,079",803,"4,730","3,337",196,"25,479","1,821",156,6,"16,279","9,649","27,911","60,186"
,OKLAHOMA,"11,135","1,607",375,"6,978",8,20,"20,123","6,516","1,709",411,216,"2,192","1,807",0,"12,851","4,954",164,7,"18,175","2,696","25,996","58,970"
,OREGON,136,149,105,126,0,935,"1,451","4,713",449,445,298,"2,159",119,76,"8,259","2,328",39,2,546,31,"2,946","12,656"
,PENNSYLVANIA,897,524,352,231,6,288,"2,298","12,933","6,080",673,796,"3,894","1,265",110,"25,751","8,061","7,979",21,"1,077","8,208","25,346","53,395"
,RHODE ISLAND,104,"2,914",205,64,6,508,"3,801","2,080",533,623,67,"1,003",1,51,"4,358",295,"4,648",2,235,208,"5,388","13,547"
,SOUTH CAROLINA,"12,897","7,252","10,721","8,734",7,"1,142","40,753","9,261","3,792",643,351,"1,363","2,014",179,"17,603","3,305","3,514",723,"2,069","1,562","11,173","69,529"
,SOUTH DAKOTA,48,2,12,"3,224",7,0,"3,293","2,935",361,63,0,"1,124",21,0,"4,504",578,7,0,767,97,"1,449","9,246"
,TENNESSEE,370,"1,542",150,160,1,161,"2,384","8,825","3,443","1,283",481,"3,449",12,36,"17,529","2,962","1,463",4,"1,133","1,417","6,979","26,892"
,TEXAS,"66,469","6,167","2,114","33,902",289,"1,641","110,582","18,939","18,164","5,482","3,288","3,133","5,756",322,"55,084","17,269","1,505",34,"16,623","12,669","48,100","213,766"
,UTAH,168,31,83,"4,114",13,4,"4,413","5,733","2,587",355,105,"1,382","1,277",0,"11,439","2,101",69,1,"13,016","1,384","16,571","32,423"
,VERMONT,35,6,7,59,1,23,131,"1,918",97,39,0,"1,011",0,7,"3,072",280,5,1,258,29,573,"3,776"
,VIRGINIA,"20,852","78,552","10,114","12,294",966,"4,242","127,020","6,981","7,909","5,243","1,472","1,439","2,047",446,"25,537","16,808","42,070","5,178","6,892","29,411","100,359","252,916"
,WASHINGTON,"26,425","22,644",660,"6,588",3,"1,518","57,838","5,697","4,660","2,143",505,"2,019","1,594",270,"16,888","5,932","20,303",8,"1,396","4,401","32,040","106,766"
,WEST VIRGINIA,67,4,18,29,0,77,195,"3,926","1,413",46,66,"2,007",0,12,"7,470","1,561",14,1,411,57,"2,044","9,709"
,WISCONSIN,423,50,112,106,0,280,971,"6,381","3,382",286,347,"2,178",1,76,"12,651","1,983",109,5,566,129,"2,792","16,414"
,WYOMING,31,2,12,"3,006",1,0,"3,052","1,478",71,65,0,"1,268",51,0,"2,933",285,2,0,774,72,"1,133","7,118"
,ZZ-UNKNOWN,13,0,7,0,0,0,20,0,323,92,0,0,0,0,415,0,0,0,0,0,0,435
UNITED STATES TOTAL,,"402,181","292,696","142,784","259,741","8,452","37,479","1,143,333","315,587","169,401","54,214","27,727","103,285","65,400","6,109","741,723","217,316","194,654","17,166","172,686","142,413","744,235","2,629,291"
OVERSEAS,AKROTIRI,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
