Grade,Army,Navy,Marine Corps,Air Force,Total DoD
GENERAL       -ADMIRAL,12,9,4,12,37
LT GENERAL    -VICE ADMIRAL,52,43,18,45,158
MAJ GENERAL   -REAR ADMIRAL(U),113,69,29,101,312
BRIG GENERAL  -REAR ADMIRAL(L),142,115,32,147,436
COLONEL       -CAPTAIN,"4,367","3,308",679,"3,601","11,955"
LIEUTENANT COL-COMMANDER,"10,233","6,744","1,895","10,016","28,888"
MAJOR         -LT COMMANDER,"17,362","10,937","3,814","14,042","46,155"
CAPTAIN       -LIEUTENANT,"28,081","17,811","6,997","22,743","75,632"
Ist LIEUTENANT-LIEUTENANT(JG),"13,861","6,552","3,527","7,193","31,133"
2nd LIEUTENANT-ENSIGN,"8,693","6,669","2,194","6,898","24,454"
CHIEF WARRANT OFFICER W-5,659,77,94,0,830
CHIEF WARRANT OFFICER W-4,"2,372",387,288,0,"3,047"
CHIEF WARRANT OFFICER W-3,"3,896",638,594,0,"5,128"
CHIEF WARRANT OFFICER W-2,"6,735",502,906,0,"8,143"
WARRANT OFFICER W-1,"2,056",0,167,0,"2,223"
,,,,,
TOTAL OFFICER,"98,634","53,861","21,238","64,798","238,531"
E-9,"3,765","2,533","1,612","2,585","10,495"
E-8,"12,266","6,091","3,966","5,136","27,459"
E-7,"40,382","20,496","8,778","26,741","96,397"
E-6,"61,840","45,805","15,031","41,231","163,907"
E-5,"78,627","60,636","27,814","67,668","234,745"
E-4,"128,372","58,658","34,587","55,786","277,403"
E-3,"57,180","40,041","47,721","51,276","196,218"
E-2,"26,193","17,636","22,727","3,487","70,043"
E-1,"20,298","14,081","12,374","7,865","54,618"
,,,,,
TOTAL ENLISTED,"428,923","265,977","174,610","261,775","1,131,285"
CADETS-MIDSHIPMEN,"4,486","4,470",0,"3,912","12,868"
GRAND TOTAL,"532,043","324,308","195,848","330,485","1,382,684"
,,,,,
