Column1,Column2,Column3,Column4,Column5,Column6
Rank/Grade,Army,Navy,Marine Corps,Air Force,Total DoD
GENERAL       -ADMIRAL,13,10,4,11,38
LT GENERAL    -VICE ADMIRAL,48,36,17,44,145
MAJ GENERAL   -REAR ADMIRAL(U),113,66,29,96,304
BRIG GENERAL  -REAR ADMIRAL(L),137,116,33,138,424
COLONEL       -CAPTAIN,"4,258","3,323",692,"3,318","11,591"
LIEUTENANT COL-COMMANDER,"9,688","6,858","1,924","9,462","27,932"
MAJOR         -LT COMMANDER,"17,322","10,849","3,869","13,584","45,624"
CAPTAIN       -LIEUTENANT,"29,202","18,275","6,756","21,974","76,207"
Ist LIEUTENANT-LIEUTENANT(JG),"12,722","6,339","3,609","7,193","29,863"
2nd LIEUTENANT-ENSIGN,"8,324","6,906","1,880","6,529","23,639"
CHIEF WARRANT OFFICER W-5,656,76,104,0,836
CHIEF WARRANT OFFICER W-4,"2,233",415,289,0,"2,937"
CHIEF WARRANT OFFICER W-3,"4,029",624,616,0,"5,269"
CHIEF WARRANT OFFICER W-2,"6,568",547,837,0,"7,952"
WARRANT OFFICER W-1,"1,984",0,255,0,"2,239"
,,,,,
TOTAL OFFICER,"97,297","54,440","20,914","62,349","235,000"
E-9,"3,594","2,572","1,564","2,508","10,238"
E-8,"11,964","6,299","3,897","5,136","27,296"
E-7,"39,334","21,062","8,281","25,399","94,076"
E-6,"60,475","46,057","14,597","38,582","159,711"
E-5,"74,392","62,256","27,139","63,582","227,369"
E-4,"118,406","54,144","38,749","57,402","268,701"
E-3,"53,096","46,796","44,275","46,315","190,482"
E-2,"26,786","16,451","18,668","3,973","65,878"
E-1,"18,472","11,522","9,807","7,207","47,008"
,,,,, 
TOTAL ENLISTED,"406,519","267,159","166,977","250,104","1,090,759"
CADETS-MIDSHIPMEN,"4,394","4,455",0,"3,879","12,728"
GRAND TOTAL,"508,210","326,054","187,891","316,332","1,338,487"
