Column1,Column2,Column3,Column4,Column5,Column6,Column7
Rank/Grade,Army,Navy,Marine Corps,Air Force,Space Force,Total DoD
GENERAL -ADMIRAL,15,7,2,11,2,37
LT GENERAL -VICE ADMIRAL,44,28,16,39,5,132
"MAJ GENERAL -REAR, ADMIRAL(U)",95,53,30,68,6,252
BRIG GENERAL -REAR ADMIRAL(L),113,104,37,123,11,388
COLONEL -CAPTAIN,"3,654","3,154",687,"3,177",222,"10,894"
LIEUTENANT COL-COMMANDER,"8,695","6,586","1,941","9,098",688,"27,008"
MAJOR -LT COMMANDER,"15,967","10,599","3,945","13,425","1,140","45,076"
CAPTAIN -LIEUTENANT,"26,755","18,645","5,750","21,104","1,310","73,564"
Ist LIEUTENANT-LIEUTENANT(JG),"12,302","7,370","3,903","6,911",521,"31,007"
2nd LIEUTENANT-ENSIGN,"9,483","6,708","2,734","6,788",519,"26,232"
CHIEF WARRANT OFFICER W-5,557,75,111,0,0,743
CHIEF WARRANT OFFICER W-4,"1,754",460,302,0,0,"2,516"
CHIEF WARRANT OFFICER W-3,"3,162",755,653,0,0,"4,570"
CHIEF WARRANT OFFICER W-2,"5,909",703,870,0,0,"7,482"
WARRANT OFFICER W-1,"4,065",22,264,0,0,"4,351"
OFFICER UNKNOWN GRADE,0,0,0,0,0,0
TOTAL OFFICER,"92,570","55,269","21,245","60,744","4,424","234,252"
E-9,"3,479","2,804","1,683","2,538",48,"10,552"
E-8,"10,266","6,943","4,084","4,742",130,"26,165"
E-7,"36,343","22,812","8,106","24,029",587,"91,877"
E-6,"58,119","49,818","12,818","41,230",826,"162,811"
E-5,"68,326","70,224","24,070","56,125","1,058","219,803"
E-4,"103,848","53,785","31,278","64,810",623,"254,344"
E-3,"44,068","40,256","39,387","44,490",935,"169,136"
E-2,"20,287","13,232","16,105","7,714",113,"57,451"
E-1,"11,735","12,791","13,801","8,226",135,"46,688"
ENLISTED UNKNOWN GRADE,0,0,0,0,0,0
TOTAL ENLISTED,"356,471","272,665","151,332","253,904","4,455","1,038,827"
CADETS-MIDSHIPMEN,"4,510","4,388",0,"4,050",0,"12,948"
GRAND TOTAL,"453,551","332,322","172,577","318,698","8,879","1,286,027"
