Enlistment Goals,Army Goal,Army Attained,Navy Goal,Navy Attained,Marine Corps Goal,Marine Corps Attained,Air Force Goal,Air Force Attained,Space Force Goal,Space Force Attained
2013,"55,760","56,437","32,692","32,692","24,743","24,785","21,969","21,969",,
2014,"49,700","50,290","30,151","22,215","22,187","22,215","22,467","22,467",,
2015,"43,614","39,918","25,380","25,380","21,005","21,025","17,480","17,495",,
2016,"27,930","26,068","16,537","16,537","12,413","12,429","14,225","14,225",,
2017,"27,914","27,171","15,028","15,028","13,383","13,414","15,094","15,105",,
2018,"31,430","27,191","18,017","18,186","13,652","13,655","14,605","14,605",,
2019,"26,210","24,858","17,625","17,784","14,003","14,035","15,557","15,681",,
2020,"26,940","27,346","19,233","18,333","12,986","12,994","14,858","14,301",,
2021,"27,412","24,851","17,003","16,279","14,072","14,088","13,932","13,933",,
2022,"21,984","15,847","15,693","15,252","11,719","11,735","12,795","12,799",270,270
2023,"18,087","12,963","11,271","6,996","6,213","6,213","9,296","8,216",167,167
